skill,difficulty,learning_time,category
Optuna,0.6,140,AutoML
AutoGluon,0.55,130,AutoML
Gymnasium,0.7,180,Reinforcement Learning
Stable Baselines,0.65,160,Reinforcement Learning
Unity ML-Agents,0.75,200,Game AI
Prophet,0.5,120,Time Series
PyOD,0.6,140,Anomaly Detection
SHAP,0.55,130,Explainability
Featuretools,0.6,150,Feature Engineering
Looker,0.4,100,BI
Metabase,0.35,80,BI
Superset,0.4,90,BI
Prisma,0.45,100,Database ORM
tRPC,0.5,110,API
Supabase,0.45,100,Backend-as-a-Service
Flutter,0.6,150,Mobile
React Native,0.55,130,Mobile
Jetpack Compose,0.6,140,Mobile
SwiftUI,0.55,130,Mobile
Terraform Cloud,0.7,170,DevOps
Pulumi,0.65,150,DevOps
Crossplane,0.75,200,DevOps
Istio,0.8,240,Service Mesh
Linkerd,0.75,200,Service Mesh
Knative,0.7,180,Serverless
Delta Lake,0.65,160,Data Lake
Iceberg,0.7,170,Data Lake
Feast,0.75,200,Feature Store
Great Expectations,0.6,140,Data Quality
Prefect,0.6,130,Workflow Orchestration
Dagster,0.65,150,Data Orchestration
Qwik,0.5,110,Frontend
Remix,0.55,130,Frontend
SolidJS,0.5,120,Frontend
Partytown,0.4,90,Performance
Zod,0.3,60,Validation
PocketBase,0.45,100,Backend
Tauri,0.6,150,Desktop
Deno,0.5,110,Runtime
Bun.js,0.45,100,Runtime
Temporal,0.7,180,Workflows
Dapr,0.65,160,Microservices
eBPF,0.8,250,Observability
Nix,0.7,180,Package Management
Tilt,0.5,120,Development
KEDA,0.6,140,Autoscaling
KubeVirt,0.75,200,Virtualization
Longhorn,0.6,140,Storage
FluxCD,0.7,160,GitOps
Garden.io,0.65,150,Development
Keptn,0.7,170,Continuous Delivery
RAG Systems,0.75,220,LLM
Prompt Engineering,0.6,140,LLM
vLLM,0.7,180,LLM Serving
TensorRT-LLM,0.8,240,LLM Optimization
Llama 3,0.85,300,LLM Models
Mistral,0.8,280,LLM Models
Grok,0.85,320,LLM Models
Segment Anything,0.9,350,Computer Vision
YOLO-World,0.9,340,Computer Vision
GroundingDINO,0.85,300,Computer Vision
FAISS,0.65,160,Vector Search
Pinecone,0.6,140,Vector Database
Weaviate,0.65,150,Vector Database
Chroma,0.55,130,Vector Database
AutoGen,0.7,180,AI Agents
CrewAI,0.65,160,AI Agents
LangGraph,0.7,170,AI Workflows
TRULens,0.6,140,Evaluation
Ragas,0.55,130,Evaluation
DeepEval,0.6,140,Evaluation
